"RosterSpot","Player","Position","Salary2014","Salary2015","Salary2016","Salary2017","Owner"
"B","Adrian Peterson","RB",NA,26,146,161,"Brendan"
"FLEX","LeSean McCoy","RB",NA,NA,146,161,"Decker"
"B","Eddie Lacy","RB",NA,NA,142,156,"Alex"
"RB","Jamaal Charles","RB",NA,NA,112,123,"Justin"
"RB","Matt Forte","RB",NA,90,99,109,"Nathan"
"WR","Demaryius Thomas","WR",81,89,98,108,"Adam"
"QB","Aaron Rodgers","QB",80,88,97,107,"Dan"
"WR","A. J. Green","WR",NA,86,95,105,"Alex"
"WR","Dez Bryant","WR",75,83,91,100,"Fischetti"
"WR","Julio Jones","WR",70,77,85,94,"Brad"
"B","Alshon Jeffery","WR",NA,66,73,80,"Billy"
"RB","DeMarco Murray","RB",60,66,73,80,"Fischetti"
"QB","Andrew Luck","QB",53,58,64,70,"Adam"
"WR","Randall Cobb","WR",53,58,64,70,"Jono"
"RB","Le'Veon Bell","RB",52,57,63,69,"Rob"
"WR","Jordy Nelson","WR",51,56,62,68,"Alex"
"TE","Rob Gronkowski","TE",51,56,62,68,"Dan"
"WR","Antonio Brown","WR",50,55,61,67,"Brad"
"B","Arian Foster","RB",49,54,59,65,"Justin"
"RB","Doug Martin","RB",NA,50,55,61,"Rob"
"FLEX","Rashad Jennings","RB",NA,NA,43,47,"Derek"
"WR","Brandon Marshall","WR",NA,36,40,44,"Brendan"
"WR","Keenan Allen","WR",NA,36,40,44,"Decker"
"B","Jimmy Graham","TE",NA,NA,40,44,"Derek"
"WR","Sammy Watkins","WR",32,35,39,43,"Billy"
"B","Drew Brees","QB",NA,35,39,43,"Derek"
"RB","Giovani Bernard","RB",NA,31,34,37,"Alex"
"B","Julian Edelman","WR",28,31,34,37,"Brendan"
"WR","Brandin Cooks","WR",27,30,33,36,"Billy"
"QB","Tom Brady","QB",27,30,33,36,"Rob"
"B","Martavis Bryant","WR",NA,29,32,35,"Alex"
"B","Michael Floyd","WR",25,28,31,34,"Brad"
"B","Shane Vereen","RB",25,28,31,34,"Justin"
"B","Chris Boswell","K",NA,NA,30,33,"Derek"
"B","John Brown","WR",NA,27,30,33,"Jono"
"FLEX","Torrey Smith","WR",8,9,29,32,"Brad"
"B","Larry Fitzgerald","WR",NA,26,29,32,"Brendan"
"B","Vincent Jackson","WR",NA,NA,29,32,"Derek"
"WR","DeSean Jackson","WR",23,25,28,31,"Adam"
"B","Justin Forsett","RB",NA,NA,28,31,"Jono"
"B","Julius Thomas","TE",NA,NA,26,29,"Decker"
"WR","T. Y. Hilton","WR",22,24,26,29,"Derek"
"RB","Ryan Mathews","RB",NA,24,26,29,"Nathan"
"B","Josh Gordon","WR",NA,23,25,28,"Dan"
"RB","Frank Gore","RB",21,23,25,28,"Jono"
"B","Spencer Ware","RB",NA,NA,25,28,"Justin"
"QB","Cam Newton","QB",NA,20,22,24,"Brendan"
"WR","Jeremy Maclin","WR",18,20,22,24,"Justin"
"B","Emmanuel Sanders","WR",18,20,22,24,"Justin"
"B","Golden Tate","WR",16,18,20,22,"Adam"
"QB","Russell Wilson","QB",16,18,20,22,"Fischetti"
"WR","Mike Evans","WR",16,18,20,22,"Fischetti"
"WR","Kelvin Benjamin","WR",16,18,20,22,"Nathan"
"WR","DeAndre Hopkins","WR",16,18,20,22,"Pealer"
"B","Pierre Garcon","WR",NA,17,19,21,"Billy"
"B","Jason Witten","TE",NA,NA,18,20,"Derek"
"WR","Michael Crabtree","WR",NA,16,18,20,"Rob"
"RB","Lamar Miller","RB",14,15,17,19,"Adam"
"QB","Eli Manning","QB",NA,15,17,19,"Justin"
"B","Kirk Cousins","QB",NA,NA,16,18,"Adam"
"B","Andre Ellington","RB",NA,NA,16,18,"Jono"
"RB","Todd Gurley","RB",13,14,15,17,"Brad"
"RB","Carlos Hyde","RB",13,14,15,17,"Brendan"
